iter	Passed	Remaining
588	2167	1512
589	2169	1507
590	2171	1502
591	2173	1497
592	2175	1492
593	2177	1488
594	2180	1484
595	2183	1480
596	2185	1475
597	2187	1470
598	2189	1465
599	2190	1460
600	2195	1457
601	2198	1453
602	2200	1448
603	2202	1443
604	2203	1438
605	2208	1435
606	2211	1431
607	2215	1428
608	2219	1424
609	2222	1421
610	2226	1417
611	2235	1417
612	2242	1415
613	2245	1411
614	2248	1407
615	2251	1403
616	2255	1400
617	2258	1396
618	2261	1392
619	2273	1393
620	2276	1389
621	2280	1385
622	2283	1381
623	2288	1379
624	2292	1375
625	2295	1371
626	2298	1367
627	2303	1364
628	2306	1360
629	2311	1357
630	2314	1353
631	2319	1350
632	2323	1347
633	2326	1342
634	2328	1338
635	2330	1333
636	2338	1332
637	2340	1327
638	2342	1323
639	2343	1318
640	2345	1313
641	2350	1310
642	2353	1306
643	2354	1301
644	2356	1297
645	2358	1292
646	2360	1287
647	2364	1284
648	2367	1280
649	2369	1275
650	2371	1271
651	2373	1266
652	2375	1262
653	2378	1258
654	2382	1254
655	2384	1250
656	2386	1245
657	2389	1241
658	2391	1237
659	2395	1234
660	2398	1230
661	2400	1225
662	2402	1221
663	2406	1217
664	2410	1214
665	2413	1210
666	2416	1206
667	2418	1202
668	2420	1197
669	2422	1193
670	2427	1190
671	2429	1185
672	2431	1181
673	2433	1177
674	2435	1172
675	2437	1168
676	2442	1165
677	2444	1160
678	2446	1156
679	2448	1152
680	2450	1147
681	2452	1143
682	2455	1139
683	2458	1135
684	2460	1131
685	2463	1127
686	2465	1123
687	2467	1118
688	2471	1115
689	2474	1111
690	2476	1107
691	2478	1103
692	2480	1098
693	2482	1094
694	2486	1091
695	2489	1087
696	2492	1083
697	2497	1080
698	2502	1077
699	2506	1074
700	2510	1070
701	2513	1067
702	2519	1064
703	2522	1060
704	2530	1058
705	2536	1056
706	2540	1052
707	2550	1052
708	2559	1050
709	2565	1047
710	2569	1044
711	2574	1041
712	2580	1038
713	2583	1035
714	2590	1032
715	2597	1030
716	2608	1029
717	2614	1026
718	2617	1022
719	2620	1019
720	2631	1018
721	2635	1014
722	2639	1011
723	2646	1008
724	2649	1004
725	2653	1001
726	2662	999
727	2668	996
728	2672	993
729	2675	989
730	2680	986
731	2684	982
732	2688	979
733	2691	975
734	2694	971
735	2696	967
736	2698	962
737	2700	958
738	2705	955
739	2709	951
740	2711	947
741	2713	943
742	2715	939
743	2718	935
744	2721	931
745	2723	927
746	2725	923
747	2727	918
748	2729	914
749	2731	910
750	2735	907
751	2738	903
752	2740	898
753	2741	894
754	2743	890
755	2745	886
756	2749	882
757	2752	878
758	2755	874
759	2757	870
760	2759	866
761	2761	862
762	2765	859
763	2768	855
764	2771	851
765	2773	847
766	2775	843
767	2779	839
768	2782	835
769	2785	832
770	2787	827
771	2789	823
772	2791	819
773	2795	816
774	2798	812
775	2801	808
776	2803	804
777	2805	800
778	2807	796
779	2812	793
780	2814	789
781	2816	785
782	2818	781
783	2819	776
784	2821	772
785	2826	769
786	2829	765
787	2832	762
788	2835	758
789	2836	754
790	2840	750
791	2842	746
792	2844	742
793	2846	738
794	2848	734
795	2850	730
796	2852	726
797	2855	722
798	2859	719
799	2862	715
800	2869	712
801	2876	710
802	2878	706
803	2880	702
804	2882	698
805	2887	694
806	2889	691
807	2891	687
808	2893	683
809	2895	679
810	2896	675
811	2901	671
812	2903	667
813	2905	663
814	2907	659
815	2908	655
816	2910	652
817	2914	648
818	2916	644
819	2918	640
820	2920	636
821	2921	632
822	2923	628
823	2925	624
824	2927	621
825	2930	617
826	2932	613
827	2935	609
828	2937	605
829	2939	601
830	2941	598
831	2943	594
832	2946	590
833	2948	586
834	2949	582
835	2951	579
836	2953	575
837	2956	571
838	2958	567
839	2961	564
840	2963	560
841	2965	556
842	2966	552
843	2968	548
844	2972	545
845	2974	541
846	2976	537
847	2978	533
848	2980	530
849	2982	526
850	2985	522
851	2987	519
852	2990	515
853	2992	511
854	2994	507
855	2996	504
856	2998	500
857	3001	496
858	3004	493
859	3007	489
860	3010	486
861	3013	482
862	3016	478
863	3018	475
864	3022	471
865	3025	468
866	3028	464
867	3030	460
868	3032	457
869	3034	453
870	3038	449
871	3041	446
872	3043	442
873	3044	438
874	3046	435
875	3048	431
876	3051	427
877	3054	424
878	3056	420
879	3058	417
880	3060	413
881	3062	409
882	3064	406
883	3068	402
884	3071	399
885	3073	395
886	3074	391
887	3076	388
888	3078	384
889	3080	380
890	3084	377
891	3087	373
892	3090	370
893	3091	366
894	3093	362
895	3095	359
896	3098	355
897	3101	352
898	3103	348
899	3105	345
900	3107	341
901	3109	337
902	3112	334
903	3115	330
904	3117	327
905	3119	323
906	3121	320
907	3123	316
908	3125	312
909	3130	309
910	3132	306
911	3134	302
912	3136	298
913	3138	295
914	3140	291
915	3143	288
916	3147	284
917	3149	281
918	3151	277
919	3153	274
920	3154	270
921	3158	267
922	3163	263
923	3164	260
924	3166	256
925	3168	253
926	3171	249
927	3174	246
928	3177	242
929	3179	239
930	3180	235
931	3182	232
932	3184	228
933	3187	225
934	3190	221
935	3193	218
936	3194	214
937	3196	211
938	3198	207
939	3200	204
940	3203	200
941	3206	197
942	3208	193
943	3210	190
944	3212	186
945	3214	183
946	3217	180
947	3220	176
948	3222	173
949	3224	169
950	3227	166
951	3230	162
952	3233	159
953	3237	156
954	3238	152
955	3240	149
956	3242	145
957	3244	142
958	3247	138
959	3250	135
960	3253	132
961	3254	128
962	3256	125
963	3258	121
964	3263	118
965	3266	114
966	3268	111
967	3270	108
968	3272	104
969	3274	101
970	3276	97
971	3279	94
972	3283	91
973	3284	87
974	3286	84
975	3288	80
976	3299	77
977	3302	74
978	3304	70
979	3306	67
980	3310	64
981	3313	60
982	3316	57
983	3318	53
984	3320	50
985	3322	47
986	3325	43
987	3328	40
988	3330	37
989	3332	33
990	3334	30
991	3336	26
992	3340	23
993	3344	20
994	3346	16
995	3348	13
996	3349	10
997	3351	6
998	3356	3
999	3359	0
